id,text,date,isheader,noadvert,page,readingorder
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t0,"<p>29. Eine Scheuren in der St. Johann -Vorstatt mit 3. Thoren, von 2. Tennen und einer Stal- lung, vier Schuttenen, ein Zwing-Trotten, zwey Weinkärren, zwey Leitfaß, zwey Böck- ten, Wein-geschir- und Trächter, sambt ande- rer Zugehörde, und einem Gärtlein darhinder.</p>","1729-03-15","","","30","0"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t1,"<p>30. Ein Braut-schmuck ober Krantz von schönen Perlen, nach heutiger neuen Mode.</p>","1729-03-15","","","30","1"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t10,"<p>chen Preiß.</p>","1729-03-15","1","","30","10"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t11,"<p>2. Ein Dictionarium, Le Voyageur, gebunden und noch in sauberm Stand, umb billichen Preiß.</p>","1729-03-15","","","30","11"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t12,"<p></p>","1729-03-15","1","","30","12"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t13,"<p>3. Eine extra schön und gute guldene Repetitions- Uhr mit Ketten und Hafftenper Frauenzimer.</p>","1729-03-15","","","30","13"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t14,"<p>4. Etwas Federbeth-werck und Matraaen.</p>","1729-03-15","","","30","14"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t15,"<p>Es stehet annoch offen In No VII. Artickel 113. In No. IV. Artickel 1.3. In No. 1. Artickel 1. Es wird zum Außleyhen offerirt:</p>","1729-03-15","1","","30","15"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t16,"<p>1. Auff dem ersten Stockwerck des Baadhauses der Mindern Stadt, eine Stuben und Ne- ben-kammer, Kuchin, eine andere Kammer und Sommerhauß, auch Platz in dem Kel- ler, und das Holtz zu legen , umb billichen Zinß.</p>","1729-03-15","","","30","16"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t17,"<p>2. Ein schönes Losament auff dem Blumen-Platz, bestehende in einer heiteren Stuben, Neben- kammer, und zwey andern Kammern, einem Bühnlein eine zimliche Parthey Holtz zu le- gen, und einem Sommerhauß.</p>","1729-03-15","","","30","17"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t18,"<p>4. Eine grosse Schreib-stuben auff der Eisengaß zur Linden welche man auch sehr wohlzu einem Laden gebrauchen kan, umb billichen Zinß.</p>","1729-03-15","","","30","18"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t19,"<p>5. Eine gantze Behausung auff dem Fischmarckt, mit einem Keller am Kalten Keller-Gäßlein.</p>","1729-03-15","","","30","19"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t2,"<p>31. Drey Pferdt, so viel Kutschen, sambt Zuge- hörde, und andern Kärren, Wägen, Schiff und Geschir- zum Führwerck, auch Feldwerck vor dem St. Johann-Thor.</p>","1729-03-15","","","30","2"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t20,"<p>Es stehet annoch offen In No. VI. Artickel 1. In No. V. Artickel 1.2. In No. lV. Artickel 1.2. In No. III. Artickel 4.</p>","1729-03-15","","1","30","20"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t21,"<p>Hingegen wird zu Lehnen begehrt:</p>","1729-03-15","1","","30","21"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t22,"<p>In No. III. Artickel 2. In No. 1. Artickel 1.</p>","1729-03-15","","1","30","22"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t23,"<p>Es ist gefunden worden:</p>","1729-03-15","1","","30","23"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t24,"<p>1. Ein zusammen gelegtes Messer mit einer Häfft von Schildkrott.</p>","1729-03-15","","","30","24"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t25,"<p>Hingegen ist verlohren gegangen:</p>","1729-03-15","1","","30","25"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t26,"<p>1. Auff dem Blumen-Platz oder bey der Kronen herumb ist verlohren gegangen ein Helffen- beinern Stecklein, von façon wie ein Pfeffer- Rohr. Wer solches finden oder entoecken, und ins Adresse - Contor bringen oder alldor- ten anzeigen wird, soll eine Recompence be- kommen.</p>","1729-03-15","","","30","26"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t27,"<p>2. Es ist verlohren gegangen ein kleines artiges Hündlein, etwann halb Schuh hoch, von den sogenandten Arlequint, braunlicht von Farb mit dunckel-braunen Flecken und abge- hauenen Ohren; Wer solchen entdecken oder liefern wird, soll eine schöne Recompencs be- kommen.</p>","1729-03-15","","","30","27"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t28,"<p>3. Ein Kreutzschlüssel zu einem Teutschen Schloß, wer solchen ins Adresse-Contor bringen wird, soll ein Trinckgeldt bekommen.</p>","1729-03-15","","","30","28"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t29,"<p>Es stehet annoch offen In No. IX. Artickel 1.2. In No. V. Artickel 2. In No. IV. Artickel 1.</p>","1729-03-15","","1","30","29"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t3,"<p>Es stehet annoch offen In No. VIII. Artickel 2. 3. 5. 6. 7. 8. 9. 10. 13. n No. VII. Art. 1.4. In No. VI. Art. 2. 4. 5. 6. In No. V. Art. 12. 4. 5. 6. In No. lV. Art. 12.3118. n No. III. Artick. 14. 15. 16. 17. 18. 20. 21. 22. In No. U. Artickel 10. 13. 14.</p>","1729-03-15","","1","30","3"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t30,"<p>Gelegenheit ver reisende Persohnen.</p>","1729-03-15","1","","30","30"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t31,"<p>1. Gegen End dieses Monats wird der Bott von Welsch-Neuenburg mit einer Kutschen all- hier ankommen, wer seine Kinder mit dessen Retour dahin zu senden gedencket, beliebe sie auff solche Zeit parat zu halten.</p>","1729-03-15","","","30","31"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t32,"<p>Kost offerirt.</p>","1729-03-15","1","","30","32"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t33,"<p>In No. VII. Artickel 1.2. In No. VI. Artickel 1. In No. IV. Artickel 1.</p>","1729-03-15","","1","30","33"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t34,"<p>Handels- und andere Bediente und Jun- gen ꝛc. begehrt:</p>","1729-03-15","1","","30","34"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t35,"<p>1. Ein Jung auf Mümpelgardt in ein offen Ge- werb von allerhand Zeüg und Tuchwaaren ꝛc. auf 3. Jahr per 100. fl. Lehrgeldt, bey sehr braven Leuthen, da, nebst der Handlung, die Frantzösische Sprach zu erlehrnen.</p>","1729-03-15","","","30","35"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t36,"<p>2. Ein dito per 3. oder 4. Jahr umb ein raison- nables Lehrgeldt in einen Tuchladen nacher Müllhausen.</p>","1729-03-15","","","30","36"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t37,"<p>3. Ein dito in eine Specir-Handlung an nahm- liches Orth auff 3. oder 4. Jahr umb ein bil- lich Lehrgeldt.</p>","1729-03-15","","","30","37"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t38,"<p>4. Ein dito nacher Genff per etlich Jahr umb ein honorables Lehrgeldt in eine Tuchhandlung, da vieles so wohl en Oros als en Detail gethan wird.</p>","1729-03-15","","","30","38"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t39,"<p>5. Ein Jung von ehrlichen Leüthen, der die Ar- beit nicht scheuhet, umb ein geringes Lehr- geldt, per etliche Jahr in eine Taback-Fa- brique und Specier-Handlung, da etwas zu erfahren ist.</p>","1729-03-15","","","30","39"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t4,"<p>Hingegen wird zu Kauffen begehrt:</p>","1729-03-15","1","","30","4"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t40,"<p>Es stehet annoch offen In No. IX. Artickel 1. In No. VII. Artickel 1. 2. In No VI. Artickel 122. In No. V. Artickel 1. In No. 1v. Artickel 1. In No. II. Artickel 6.</p>","1729-03-15","","1","30","40"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t41,"<p>ingegen werden dergleichen offerirt: H</p>","1729-03-15","1","","30","41"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t42,"<p>In No. VI. Artickel 122. In No. III. Art. 3. 4. 5.</p>","1729-03-15","","1","30","42"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t43,"<p>lnsormation offerirt;</p>","1729-03-15","1","","30","43"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t44,"<p>In No. VII. Artickel 1. 2. 3.</p>","1729-03-15","","1","30","44"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t45,"<p>Ferner steher zu verkauffen;</p>","1729-03-15","1","","30","45"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t46,"<p>Eine saubere in Frantzösischen Band eingebundene Weymarische Bibel, da die Erklärung der schwären Worten in seinem rechten Zusam- menhang, gleich nach dem Tert fortgelesen wird, samt einigen zu Erläuterung der H. Hi- story dienenden Kupffern in Median-Folio.</p>","1729-03-15","","","30","46"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t5,"<p>3. Eine Summa Geldtes auff gute Versicherung zu drey pro Cento.</p>","1729-03-15","","","30","5"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t6,"<p>2. Unterschiedliche grosse und kleine Schlüssel, so wohl ohne Ring als mit Ring, von allerhand Gattungen, welche im Adresse - Contor zu sehen und zu bekommen.</p>","1729-03-15","","","30","6"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t7,"<p>Es stehet annoch offen In No. VIII. Artickel 4. In No. 1V. Artickel 2.</p>","1729-03-15","","1","30","7"
0079cd74-b35f-5304-97c4-9e6f3d4e5e5d/t9,"<p>1. Eine gute silbere Repetitions-Uhr umb billi-</p>","1729-03-15","","","30","9"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t0,"<p>Es werden zum Verkauff offerirt:</p>","1729-01-25","1","","9","0"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t1,"<p>1. Neüe eisene Waag-Balcken von einem extra guten Meister verfertigt, zu einem halben, vier und sechs Centnern auff jeglicher Schalen zu wägen , umb billichen Preiß.</p>","1729-01-25","","","9","1"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t10,"<p>10. Eine Behausung an der Schneider-Gaß, wel- che das Feuer-Recht hat, wohl gebauen und von guter Gelegenheit ist.</p>","1729-01-25","","","9","10"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t11,"<p>11. Eine dito auff dem Adelberg, mit drey Stu- ben, sieben Kammern , und zwey gewölbten Kellern , wohl gebauen.</p>","1729-01-25","","","9","11"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t12,"<p>12. Eine sehr wohl-conditionirte, mit schönem weissem Thuch auß-garnirte und mit Venetia- nischem Spiegel-glaß versehene Kutschen mit Schwanen-Hälsen, alles auff das dauerhaff- teste gemacht, sambt sauberm mit Moßing guarnirtem Geschir2.</p>","1729-01-25","","","9","12"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t13,"<p>13. Ein annoch zimlich wohl-conditionirter Hauß- schlitten mit Grun und Weiß, sambt dem Geschir , umb billichen Preiß.</p>","1729-01-25","","","9","13"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t14,"<p>14. Eine Parthey Muscateller -Wein , welcher noch zimlich gut, die Bouteille à 3. Batzen, i bey Herin Hugo zum Affen.</p>","1729-01-25","","","9","14"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t15,"<p>15. Eine achtfache guldene gezogene Fläschen-Ket- ten, mit einem geschmeltzten Blättlein-schloß, rechtschaffen saubere Arbeit, alles von Duplo- nen-Gold, daran man gar wenig für Macher- lohn rechnet.</p>","1729-01-25","","","9","15"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t16,"<p>16. Ein in dem Dorff Riechen gelegen-schön und nutzliches Landguth.</p>","1729-01-25","","","9","16"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t17,"<p>17. Eine Parthey der allerbesten neuen Pariser- Schärmessern, darvon man in dem Adresse- Contor Stuck- oder Dutzend- weiß das stuck per 8. Batzen haben kan.</p>","1729-01-25","","","9","17"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t18,"<p>18. Eine Parthey gut und schöner Achtzehner- Marggräffer-Wein wird umb billichen Preiß offerirt.</p>","1729-01-25","","","9","18"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t19,"<p>In dem Avis-Blättlein No. l. stehen annoch offen No. 1. 2. 3. 4. 5. 6. 7. 8. 9.</p>","1729-01-25","","1","9","19"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t2,"<p>2. Ein gantz neue grosse Feüer-spritzen, sambt den Schläuchen.</p>","1729-01-25","","","9","2"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t20,"<p>Es wird zu Kauffen begehrt:</p>","1729-01-25","1","","9","20"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t21,"<p>1. Einige gute Gulten in dem Baselbiethvon s0. 100. 200. à 300. Pfunden.</p>","1729-01-25","","","9","21"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t22,"<p>2. Eine Frantzösische Post-Chaise à deur und 2 double Ressort.</p>","1729-01-25","","","9","22"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t23,"<p>3. Man verlangt ein sauber-nicht allzu altes Kut- schen-Geschir: ver zwey Pferdt zu kauffen.</p>","1729-01-25","","","9","23"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t24,"<p>Es wird zum Verleyhen offerirt:</p>","1729-01-25","1","","9","24"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t25,"<p>1. Ein Losament, bestehende in einer Stuben, Sommerhauß und Kuchin, drey Kammern/ und einem kleinen Keller, an der Gärber-Gaß.</p>","1729-01-25","","","9","25"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t26,"<p>2. Ein schöner gewölbter Keller, sambt 5. Stuck- lein mit Eisen gebunden, zu 6o. Saum Wein, an der Gärber-Gaß.</p>","1729-01-25","","","9","26"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t27,"<p>3. Ein dito auff dem Barfusser-Platz gelegen, bey hundert oder mehr Saum Wein zu logiren , umb billichen Preiß.</p>","1729-01-25","","","9","27"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t28,"<p>4. Zwey Stuben mit Kuchin, Sälin und Kam- mern / ꝛc. sehr komlich zwey Haußhaltungen zu logiren, und umb raisonnablen Preiß, in der Spahlen-Vorstatt.</p>","1729-01-25","","","9","28"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t29,"<p>In dem Avis-Blättlein No. I. stehet annoch offen No. 1. 2. 3.</p>","1729-01-25","","1","9","29"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t3,"<p>3. Eine Post-Chaise auff vier Räberen.</p>","1729-01-25","","","9","3"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t30,"<p>Es wird zu Lehnen gesucht:</p>","1729-01-25","1","","9","30"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t31,"<p>1. Eine Summa Geldtes von Tausend Gulden auff eine Behausung.</p>","1729-01-25","","","9","31"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t32,"<p>2. Ein lährer Keller zu ohngefehr 50. à 60. Saum Wein, nebst ein paar lähren Stücklin, in der Spahlen-Vorstatt oder dort herumh.</p>","1729-01-25","","","9","32"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t4,"<p>4. Eine Behausung, Hofstatt, Garten, mit einem lauffenden Brunnen, drey Stuben und einem schönen Keller, an St. Leonhards Graben, so das Feler-Recht hat.</p>","1729-01-25","","","9","4"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t5,"<p>5. Eine mit roth auß-guarnirte saubere Trag- Chaise , umb billichen Preiß.</p>","1729-01-25","","","9","5"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t6,"<p>6. Eine Frantzösische Post-Chaise à Ressort, mit Venetianischem Spiegel-glaß und mit Scharlach- thuch auf das Säuberste auß- garnirt, sambt dem Geschir- und Zugehörde.</p>","1729-01-25","","","9","6"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t7,"<p>7. Eine Anzahl Gold- und andere Waagen, so der berühmte Meister Jacob Siegfried, ein Sohn des berühmten Meisters Reinhard Siegfrieds , allhier hinderlassen.</p>","1729-01-25","","","9","7"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t8,"<p>3. Eine Kutsch auf 4. Räderen mit Spiegel-glä- sern per vier Persohnen.</p>","1729-01-25","","","9","8"
02721cdb-b76a-5b30-98c9-35faccf6c3ed/t9,"<p>9. Ein Räbacker von ohngefehr 3. Zweytel, sambt Häußlin und Trotten, an der Klibeckh-straß, nicht weit von St. Bläsp-Thor gelegen, hin- den auff den Rhein stossend.</p>","1729-01-25","","","9","9"
02b87dad-07b2-5c04-9b2a-07562fa69f39/t0,"<p>25. Ein Rebacker von ungefehr einem Zweytel sambt dem Herbst, zwüschen dem Aeschemer-  und dem Steinen-Thor in dem sogenandten Heimath ligende , umb billichen Preiß.</p>","1729-09-06","","","80","0"
02b87dad-07b2-5c04-9b2a-07562fa69f39/t1,"<p>Es stehet annoch offen In No. XXXIII. Artickel 1. 2. 3. 4. 5. 6. 7. 8. In No. xX XIl. Artickel 1. 2. 3. 6. 7. 8. 9. 10. In No. XxXl. Artickel 1. 2. 4. 5. In No. X XX. Artickel 2. 4. 5. In No. XXiX. Artickel 15. 17.18. In No. XXVIII. Artickel 1. 2. 6. 7. 11. In No. xXVII. Art. 12. 6. In No. xxVI. Art. 12. In No. Xxv. Artickel 1. 3. 4. 5. 8. 9.</p>","1729-09-06","","","80","1"
02b87dad-07b2-5c04-9b2a-07562fa69f39/t10,"<p>Es stehet annoch offen In No. x xxl. Art. 1. In No. XX X. Art. 1.2. 4. In No. xxVII. Art. 1. In No. xxv. Artickel 1.</p>","1729-09-06","","1","80","10"
02b87dad-07b2-5c04-9b2a-07562fa69f39/t11,"<p>Handels- und andere Bediente begehrt:</p>","1729-09-06","1","","80","11"
02b87dad-07b2-5c04-9b2a-07562fa69f39/t12,"<p>1. Man begehrt einen wohl-faconirten Laqueyen nicht gar grosser Statur, so die Teutsch- und Frantzösische Sprach versteht, und Catholi- scher Religion ist, umb ein billich Salarium.</p>","1729-09-06","","","80","12"
