id,text,adcontent,adtype,finance,keyword,date
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a7,"Kutsch. ","06ding","01biete","01kauf","0","1734-01-05"
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a8,"e gute grosse eyserne Gelt-Cassa mit 10. Riegle. 2 ","06ding","01biete","01kauf","0","1734-01-05"
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a9,"21. Ein Nußbäumernes, mit Blumwerck sauber eineinem Dreyfuß. ","02hausrat","01biete","01kauf","0","1734-01-05"
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a12,"18. Eine noch neue Cavaillers-Perrucke von braunen Haaren. ","06ding","01biete","01kauf","0","1734-01-05"
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a13,"iedene gute Elutes Traversieres. 17. Versc ","06ding","01biete","01kauf","0","1734-01-05"
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a14,"16. Taverniers Orientalische Reisen in Fol. ","05drucksachen","01biete","01kauf","0","1734-01-05"
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a16,"14. Ein Stock extra gutes Heü. ","06ding","01biete","01kauf","0","1734-01-05"
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a17,"3. Ein grosser und ein kleiner Stock gutes neues Eind, überhaupt oder jeden Stock sonderbahr. ","06ding","01biete","01kauf","0","1734-01-05"
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a18,"12. Ein neuer Passamenter-Stuhl mit 4- Gängen ist zu haben im Binninger Schloß bey Heran LandAmman. ","06ding","01biete","01kauf","04person,05ort","1734-01-05"
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a19,"11. Eine ganß Nußbäumerne weiß eingelegte Bethstatt, mit Schrauben, oben und unden Oval. ","02hausrat","01biete","01kauf","0","1734-01-05"
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a22,"8. Acht eyserne Reiff zu einem in circa 15. Säumigen Stücklein Faß, in billichem Preiß. ","06ding","01biete","01kauf","0","1734-01-05"
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a24,"6. Ein Mannensitz hinder der Cantzel im Münster um 12. Pfund. ","09kirchenstuhl","01biete","01kauf","03preis,05ort","1734-01-05"
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a29,"Ein, zu verschiedenen Künsten wohl abgerichtetes kleines Hündlein. ","07tier","01biete","01kauf","0","1734-01-05"
a70f7af0-fc40-5f56-bee0-e0fd65f1f82b/a30,"25. Im Berichthauß sind dermahlen zu haben :Revonse de la Cour Imperiale, a l Ecrir gui a pour Ti- ire: Mdotifs des Resolutions du Roy T. C. bas Stuck Batzer ","05drucksachen","01biete","01kauf","01berichthaus,03preis","1734-01-05"
0e451c00-95cf-5a97-998a-d5a6241788b7/a3,"vorden: Bey St. Leonhardt: Fridlin Bitscher von Rothenflueh, und Jungfrau Barbara Sc saffne M ","0","05nachricht","0","04person,05ort","1734-01-05"
0e451c00-95cf-5a97-998a-d5a6241788b7/a4,"Bey St Theodor: Jacob Werdenberg, Meister Jacob Werdenberg des Saltzmessers gewesener Ehelicher Sohn. ","0","05nachricht","0","04person,05ort","1734-01-05"
0e451c00-95cf-5a97-998a-d5a6241788b7/a5,"So dann werden heüte begraben, bey St. Clara: Meister Hans hain der u ","0","05nachricht","0","04person,05ort","1734-01-05"
0e451c00-95cf-5a97-998a-d5a6241788b7/a6,"Gestern bey St. Peter: Meister Johannes Tichopp der alle Brunnmeister. ","0","05nachricht","0","04person,05ort","1734-01-05"
0e451c00-95cf-5a97-998a-d5a6241788b7/a7,"Mittwochs in dem Münster : Frau Barbara Wickhin, Herin Mathias Guthen des Raths gewesene Eheliche H ","0","05nachricht","0","04person,05ort","1734-01-05"
0e451c00-95cf-5a97-998a-d5a6241788b7/a9,"16. Bey Herin Melchior Freüler über Rhein sind 4. Stuben für Kostgänger nebst villicher Kost zu haben. ","08immo,11kost","01biete","02miete","04person,05ort","1734-01-05"
0e451c00-95cf-5a97-998a-d5a6241788b7/a10,"5. Eine in der Rechenkunst erfahrne Persohn anerviethet ihre getreüe Instruction, entweder in ihrem Hause oder ausserhalb, wo man sie hinzu beruffen belieben möchte, und zwar der Vermöglichen um billichen, den Unvermöglichen aber um den halben Preiß. ","10arbeitsstelle","02suche","0","0","1734-01-05"
0e451c00-95cf-5a97-998a-d5a6241788b7/a20,"5. Im Berichthauß sind noch einige Stuck von denen Mercures Suisses: ou Recueil de Nouvelles Histo riquen, Politiquen, Litreraires &e Curieuses, der Müster zu sehen, und auf Vetjungen selbige Monatlich in jüngstgebachtem Preiß zu haben. Und daferne einige Herren Gelehrte zu deren mehrerer Auszierung in Litterariis &c. etwas contribuiren wolten, so belieben sie es nur Ordinary in allhiesiget Berichthauß zu senden. ","05drucksachen,17auskunft","01biete,05nachricht","01kauf,06mitmachen","01berichthaus","1734-01-05"
0e451c00-95cf-5a97-998a-d5a6241788b7/a24,"ichten: . Ein sicherer Freund allhier hatkoose von der Franck- furur Armen-Hauß Lotterie, welche nächstens gelogen werden solle, das Stuck à 5. fl. und offerirt denen Liebhaderen, wann einige Loose beysammen genomen werden , die ZiehungsListen gratis zu communiciren, auch ist im Berichthauß gratis zu vernemmen wo selbige zu entheben f ","15lotterie,17auskunft","01biete,05nachricht","01kauf","0","1734-01-05"
0e451c00-95cf-5a97-998a-d5a6241788b7/a28,". Man verlangt einen getreuen verständigen Handels Bedienten der im Stand ist die Scripturen zu führen; um ehrliches Salarium. ","10arbeitsstelle","01biete","0","0","1734-01-05"
